date,symbol,sector,available_borrow_qty,total_lendable_qty,borrowed_qty,borrow_fee_bps,lending_rate_pct,collateral_requirement_pct,close_price,avg_daily_value,data_quality_note
2026-01-01,ADVANC,Information & Communication Technology,10264512,11609060,1344548,24.6,0.1683,113.0,211.87,2483537879.0,clean
2026-01-02,ADVANC,Information & Communication Technology,10527022,11569385,1042363,15.0,0.1026,113.0,205.14,2291724434.0,clean
2026-01-05,ADVANC,Information & Communication Technology,10727662,11577477,849815,15.0,0.1026,113.0,206.77,2334233041.0,clean
2026-01-06,ADVANC,Information & Communication Technology,10570424,11512654,942230,15.0,0.1026,113.0,206.78,2935935806.0,clean
2026-01-07,ADVANC,Information & Communication Technology,9879792,11582244,1702452,29.9,0.2046,113.0,201.03,2730324696.0,clean
2026-01-08,ADVANC,Information & Communication Technology,9981894,11413103,1431209,15.0,0.1026,113.0,203.65,1399005174.0,clean
2026-01-09,ADVANC,Information & Communication Technology,10862456,11443587,581131,15.0,0.1026,113.0,197.39,2326819722.0,clean
2026-01-12,ADVANC,Information & Communication Technology,11201586,11714272,512686,15.0,0.1026,113.0,194.26,1860614239.0,clean
2026-01-13,ADVANC,Information & Communication Technology,11451236,11902364,451128,15.0,0.1026,113.0,196.23,1705796897.0,clean
2026-01-14,ADVANC,Information & Communication Technology,11301842,11683399,381557,15.0,0.1026,113.0,199.92,1675279993.0,clean
2026-01-15,ADVANC,Information & Communication Technology,11193078,11643789,450711,15.0,0.1026,113.0,202.46,1670190329.0,clean
2026-01-16,ADVANC,Information & Communication Technology,11150650,11583139,432489,17.3,0.1184,113.0,202.18,2054335470.0,clean
2026-01-19,ADVANC,Information & Communication Technology,11148148,11603728,455580,15.0,0.1026,113.0,202.44,2256620997.0,clean
2026-01-20,ADVANC,Information & Communication Technology,11362671,11761126,398455,15.0,0.1026,113.0,200.92,3788509120.0,clean
2026-01-21,ADVANC,Information & Communication Technology,11189535,11794316,604781,15.0,0.1026,113.0,199.65,1947197696.0,clean
2026-01-22,ADVANC,Information & Communication Technology,11531726,11737732,206006,15.0,0.1026,113.0,204.12,2519202123.0,clean
2026-01-23,ADVANC,Information & Communication Technology,11094189,11654006,559817,15.0,0.1026,113.0,204.59,1608788587.0,clean
2026-01-26,ADVANC,Information & Communication Technology,11087075,11627527,540452,15.0,0.1026,113.0,192.4,2124445402.0,clean
2026-01-27,ADVANC,Information & Communication Technology,10840798,11573940,733142,35.9,0.2456,113.0,190.09,1762401437.0,clean
2026-01-28,ADVANC,Information & Communication Technology,10518238,11453129,934891,41.5,0.2839,113.0,191.69,2108219236.0,clean
2026-01-29,ADVANC,Information & Communication Technology,10843961,11492014,648053,27.7,0.1895,113.0,197.37,1688271985.0,clean
2026-01-30,ADVANC,Information & Communication Technology,10809179,11511159,701980,15.0,0.1026,113.0,193.87,1169178936.0,clean
2026-02-02,ADVANC,Information & Communication Technology,10761610,11530817,769207,15.0,0.1026,113.0,192.8,1383237984.0,clean
2026-02-03,ADVANC,Information & Communication Technology,10890041,11519771,629730,15.0,0.1026,113.0,195.18,1454533646.0,clean
2026-02-04,ADVANC,Information & Communication Technology,10913875,11482735,568860,15.0,0.1026,113.0,190.75,2261410328.0,clean
2026-02-05,ADVANC,Information & Communication Technology,10855055,11501475,646420,15.0,0.1026,113.0,191.16,1727812128.0,clean
2026-02-06,ADVANC,Information & Communication Technology,10750191,11499696,749505,17.0,0.1163,113.0,190.61,1663966414.0,clean
2026-02-09,ADVANC,Information & Communication Technology,10637381,11580037,942656,15.0,0.1026,113.0,186.67,2070544203.0,clean
2026-02-10,ADVANC,Information & Communication Technology,10649281,11794816,1145535,28.8,0.197,113.0,183.19,2256551989.0,clean
2026-02-11,ADVANC,Information & Communication Technology,10274392,11444352,1169960,29.3,0.2005,113.0,184.9,2584098698.0,clean
2026-02-12,ADVANC,Information & Communication Technology,10304854,11616107,1311253,15.0,0.1026,113.0,183.82,1967206062.0,clean
2026-02-13,ADVANC,Information & Communication Technology,10230275,11669764,1439489,26.9,0.184,113.0,189.72,1965931873.0,clean
2026-02-16,ADVANC,Information & Communication Technology,10033957,11542138,1508181,40.4,0.2764,113.0,191.72,1484874813.0,clean
2026-02-17,ADVANC,Information & Communication Technology,10411771,11513067,1101296,41.4,0.2832,113.0,188.72,1516980371.0,clean
2026-02-18,ADVANC,Information & Communication Technology,10546488,11579206,1032718,24.0,0.1642,113.0,183.71,1760957289.0,clean
2026-02-19,ADVANC,Information & Communication Technology,9826686,11690227,1863541,43.6,0.2983,113.0,185.59,1337736835.0,clean
2026-02-20,ADVANC,Information & Communication Technology,9342641,11474405,2131764,30.3,0.2073,113.0,191.78,3490599513.0,clean
2026-02-23,ADVANC,Information & Communication Technology,9588621,11429403,1840782,39.2,0.2682,113.0,191.4,1419815112.0,clean
