date,symbol,sector,available_borrow_qty,total_lendable_qty,borrowed_qty,borrow_fee_bps,lending_rate_pct,collateral_requirement_pct,close_price,avg_daily_value,data_quality_note
2025-01-02,KBANK,Banking,4102787,6481991,2379204,80.6,0.4875,139.3,153.37,34969110.0,clean
2025-01-02,SCB,Banking,35155530,48578527,13422997,68.4,0.4865,115.2,57.77,26909466.0,clean
2025-01-02,BBL,Banking,21489277,74392286,52903009,115.5,0.7177,140.0,12.29,163003472.0,clean
2025-01-02,KTB,Banking,53965540,74290793,20325253,45.9,0.3373,121.7,40.17,32063402.0,clean
2025-01-02,PTT,Energy,9901676,16534806,6633130,64.0,0.4054,136.5,19.86,989795982.0,clean
2025-01-02,PTTEP,Energy,5082737,7198071,2115334,40.3,0.3063,105.3,158.69,509266789.0,clean
2025-01-02,GULF,Energy,6058687,7423412,1364725,55.7,0.4328,135.1,38.85,258226701.0,clean
2025-01-02,GPSC,Energy,8484278,11709164,3224886,64.6,0.5128,124.7,12.74,127445734.0,clean
2025-01-02,CPALL,Commerce,7275748,11062069,3786321,46.0,0.3071,130.1,148.09,359762134.0,clean
2025-01-02,HMPRO,Commerce,3072520,6399723,3327203,101.3,0.664,125.8,10.41,197520870.0,clean
2025-01-02,CRC,Commerce,5558579,11545875,5987296,80.5,0.5425,121.3,7.13,27581247.0,clean
2025-01-02,BJC,Commerce,50668363,74039687,23371324,37.2,0.2397,137.3,36.1,54017875.0,clean
2025-01-02,ADVANC,ICT,9848586,11662971,1814385,59.0,0.4037,113.0,210.83,575574538.0,clean
2025-01-02,TRUE,ICT,23991110,30103831,6112721,38.1,0.2984,123.7,6.04,212964297.0,clean
2025-01-02,INTUCH,ICT,4543725,7996422,3452697,93.2,0.5732,131.1,22.71,401676400.0,clean
2025-01-02,JMART,ICT,2959504,6280834,3321330,108.3,0.761,127.1,317.53,283151627.0,clean
2025-01-02,BDMS,Healthcare,15318791,17066565,1747774,45.4,0.3612,142.2,253.64,41267706.0,clean
2025-01-02,BH,Healthcare,23983511,30626021,6642510,29.6,0.1938,139.6,7.94,1262469265.0,clean
2025-01-02,BCH,Healthcare,29100826,50459121,21358295,88.7,0.5662,119.3,322.77,71119920.0,clean
2025-01-02,CHG,Healthcare,2850397,5698188,2847791,94.6,0.6745,149.7,243.22,629410943.0,clean
2025-01-02,LH,Property,15900827,42612246,26711419,110.6,0.7384,121.8,7.65,614389891.0,clean
